,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
152,Left-Cerebellum-White-Matter,265162.61603787495,0.2084096597114845,-0.1857606276185729,530350.1461197643,-0.20795210647808102,3.107054156934288
153,Left-Cerebellum-Cortex,294088.65080288757,0.35740233341465055,-0.2843357574990576,588202.2156497895,-0.9312965403948621,2.5800841325051738
154,Left-Thalamus-Proper,234962.1062466956,0.36575673385249674,-0.2716380336798359,469949.12653740554,0.11569763044464206,0.05047946835343139
155,Left-Caudate,220803.58106672255,0.1834924053589716,-0.19086119712937663,441632.07617745944,-0.0052017053748796924,-0.03706971129269702
156,Left-Putamen,226237.24775408793,0.35294096776804196,-0.3380392918809688,452499.4095521902,-0.21382295174715882,0.8754120959610218
157,Left-Pallidum,201117.9076488187,0.3331559179600998,-0.2234781274563662,402260.7293416518,0.2258185536696193,-0.1860365855342622
158,3rd-Ventricle,211781.46218424846,0.251711402085094,-0.30448629053392967,423587.8384125113,1.0278894792115998,3.7997633782431777
159,4th-Ventricle,223454.2841698899,0.0763582776258942,0.0887317611047146,446933.48238379415,0.5429831558868624,5.734936149975498
160,Brain-Stem,267625.6429060926,0.30610687727802743,-0.1674543053114916,535276.1998561996,0.033332849179154744,0.4604522707284282
161,Left-Hippocampus,215988.475177404,0.2861196428402736,-0.17715907088790936,432001.86439882236,0.06101133142689932,0.18198180294066962
162,Left-Amygdala,196741.50362050082,0.2962379308865082,-0.20427138770370232,393507.921285016,0.21774071728665273,0.36700236337929254
163,CSF,201056.79441553575,0.087450861606854,-0.11341711056906915,402138.50287508586,0.8770203701572311,2.280205869968188
164,Left-Accumbens-area,173339.552374303,0.3394831682098005,-0.7000093287123864,346704.01879262034,0.16777035022798942,0.7798576517629752
165,Left-VentralDC,215773.50130061334,0.34523119864441854,-0.2639866106253502,431571.916645241,0.3014585013726458,0.5004080281835036
166,Left-vessel,126133.0788553846,0.006131463482581534,0.0159798665043014,252291.07175478357,-1.1844723470873169,8.034138741850837
167,Left-choroid-plexus,193760.46980092567,0.09410312504266505,-0.26636861266872097,387545.8536458657,0.054507618800312345,0.6368045008211323
168,Right-Lateral-Ventricle,283278.07127484283,0.15551686116764618,-0.2587911020611698,566581.0565937001,0.7152816871661101,1.4588480059400064
169,Right-Inf-Lat-Vent,191784.19024929835,0.01493187321495737,-0.026851499045697082,383593.29454261105,-0.199273543431207,1.1873201302128145
170,Right-Cerebellum-White-Matter,265188.3984694434,0.1847272698230077,-0.18781907906881914,530401.7109829012,-0.3102683641453003,3.171717366300088
171,Right-Cerebellum-Cortex,295316.2702812581,0.3859196745779817,-0.36083132755144703,590657.4546065306,-0.8743699328628614,2.669040001814415
172,Right-Thalamus-Proper,233093.54027759866,0.4008270303981316,-0.2581618478030141,466211.99459921167,0.042766191811185586,1.1660879704763731
173,Right-Caudate,221733.97048270714,0.19722059687658922,-0.1896009589750105,443492.85500942863,0.21175298448372812,0.5194388370490594
174,Right-Putamen,225987.43418818468,0.3472229235091998,-0.31504027549413643,451999.7824203837,-0.42337926968355605,1.929683309609661
175,Right-Pallidum,200286.5721703453,0.22948060188803343,-0.16882410017268148,400598.0583847049,0.12869819229390916,0.0966556036608125
176,Right-Hippocampus,217493.71482509584,0.27670607536136926,-0.16937159671955018,435012.34369420604,0.09765209141750163,0.08303806743980903
177,Right-Amygdala,198133.67645548,0.3384768765031917,-0.15038477401866374,396292.26695497433,0.45289648986857295,3.9082614781510316
178,Right-Accumbens-area,172351.92944882018,0.3421745474883019,-0.5026519230599281,344728.7729416547,0.20450103260903807,0.5172376366748103
179,Right-VentralDC,214906.9688002347,0.3502668451734151,-0.2839264859089874,429838.85164448374,0.4248805608764694,1.4474177726043729
180,Right-vessel,119012.75082914474,0.07477517216341867,-0.010793218157040471,238050.41570230384,-0.6197486196049223,5.6710722025829
181,Right-choroid-plexus,193428.25610127335,0.14750524204909643,-0.27045853115725993,386881.42624656105,-0.3411201532266382,0.8295735255491257
182,SubCortGrayVol,286792.55571796134,0.40630447763031774,-0.3051971193987522,573610.0254799371,0.41726867495705267,1.130321654735732
183,TotalGrayVol,362349.52088534035,0.48372505911018504,-0.326599276187451,724723.9558146951,-0.2364291655663419,0.43553288209881036
184,SupraTentorialVol,378299.60031618574,0.3613269220169786,-0.169021563138667,756624.1146763859,0.0023107127234496434,0.1075236860019683
185,SupraTentorialVolNotVent,377467.45758232113,0.3591237254541545,-0.16074753890474744,754959.8292086567,0.024100436691481875,0.14384144290047668
186,avg_thickness,-25426.61234159099,0.3992068286450976,-1.0070841814407443,-50828.31063916761,0.19158779911053037,0.8775711938036752
187,EstimatedTotalIntraCranialVol,389808.5555549332,0.4230128023209795,-0.35972218744013273,779642.0251538808,-0.16565379696107954,0.7024432125293651
